project,versionId,versionIndex,versionDate,AbstractnessMetric,ChangeHasOccurred,ComponentType,FanIn,FanOut,InstabilityMetric,IsNested,LinesOfCode,NumberOfChildren,PageRank,TotalAmountOfChanges,constructType,filePathReal,filePathRelative,name,simpleName,vertexId,vertexLabel
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.75,false,PACKAGE,21,2,0.08571428571428572,false,26,4,0.0031758948185027563,0,PACKAGE,.,.,org.apache.tika.pipes.api.pipesiterator,pipesiterator,9195,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,1.0,false,PACKAGE,6,3,0.29411764705882354,false,13,2,0.001549224913663363,0,PACKAGE,.,.,org.apache.tika.pipes.api.reporter,reporter,9203,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,0,1.0,false,0,1,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.ignite.cache,cache,9216,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,0,1.0,false,0,0,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.ignite.cache.query,query,9222,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,0,0.0,false,16,1,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.pipes.plugin.fs,fs,29702,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,1,10,0.9473684210526315,false,626,7,9.223999830353243E-4,0,PACKAGE,.,.,org.apache.tika.parser.csv,csv,9231,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,0,0.0,false,16,1,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.pipes.plugin.microsoftgraph,microsoftgraph,25617,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,10,1.0,false,183,3,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.detect.siegfried,siegfried,13413,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,9,1.0,false,242,3,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.detect.magika,magika,13421,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,11,1.0,false,189,3,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.parser.external2,external2,5232,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,6,1.0,false,54,1,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.detect.ole,ole,13429,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,2,10,0.8571428571428571,false,131,3,0.0010974547607897635,0,PACKAGE,.,.,org.apache.tika.detect.apple,apple,13437,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,0,0.0,false,16,1,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.pipes.plugin.jdbc,jdbc,9348,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,6,1.0,false,41,1,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.detect.gzip,gzip,13445,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,2,6,0.75,false,82,1,0.0012441403285129056,0,PACKAGE,.,.,org.apache.tika.detect.ogg,ogg,13457,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,11,1.0,false,111,4,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.pipes.fetcher.azblob,azblob,9364,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,4,8,0.7142857142857143,false,239,3,0.003898882778798286,0,PACKAGE,.,.,org.apache.tika.detect.microsoft,microsoft,13465,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,1,3,1.0,false,0,5,9.140551572416574E-4,0,PACKAGE,.,.,org.apache.tika.eval.core,core,1186,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,2,5,0.7142857142857143,false,256,4,0.0015092387798432045,0,PACKAGE,.,.,org.apache.tika.langdetect.opennlp,opennlp,13474,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,1,6,0.6363636363636364,false,132,4,9.140551572416574E-4,0,PACKAGE,.,.,org.apache.tika.eval.core.util,util,1192,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,0,6,1.0,false,84,2,8.684221256323139E-4,0,PACKAGE,.,.,org.apache.tika.eval.core.metadata,metadata,1200,container
tika,697d7c047daf1f661a4ed067bbc8f9c58bb6faa2,1,2026-01-07T07:46:39.000,0.0,false,PACKAGE,1,10,0.9411764705882353,false,280,2,9.321400655037762E-4,0,PACKAGE,.,.,org.apache.tika.parser.gdal,gdal,21686,container
